Common_Name,Symbol,Scientific_Name_x,Scientific_Name_y,Species,Category,Family,Family_Common_Name,xOrder,SubClass,Class,SubDivision,Division,SuperDivision,SubKingdom,Kingdom,Duration,Growth_Habit,Growth_Rate,Height_Mature_feet,Lifespan,Toxicity,Temperature_Minimum_F,Bloom_Period,Fruit_Seed_Period_Begin,Fruit_Seed_Period_End,Fruit_Seed_Abundance
oneseed juniper,JUMO,Juniperus monosperma (Engelm.) Sarg.,Juniperus monosperma,monosperma,Gymnosperm,Cupressaceae,Cypress family,Pinales,,Pinopsida,,Coniferophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Slow,40,Long,None,-13,Early Spring,Summer,Fall,High
Sierra rush,JUNE,Juncus nevadensis S. Watson,Juncus nevadensis,nevadensis,Monocot,Juncaceae,Rush family,Juncales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,2.0,Moderate,None,-33,Late Spring,Summer,Summer,Low
black walnut,JUNI,Juglans nigra L.,Juglans nigra,nigra,Dicot,Juglandaceae,Walnut family,Juglandales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Rapid,100,Moderate,Slight,-28,Late Spring,Fall,Fall,Low
western juniper,JUOC,Juniperus occidentalis Hook.,Juniperus occidentalis,occidentalis,Gymnosperm,Cupressaceae,Cypress family,Pinales,,Pinopsida,,Coniferophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Slow,33,Long,Slight,-33,Late Spring,Winter,Winter,High
Utah juniper,JUOS,Juniperus osteosperma (Torr.) Little,Juniperus osteosperma,osteosperma,Gymnosperm,Cupressaceae,Cypress family,Pinales,,Pinopsida,,Coniferophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Slow,26,Long,None,-28,Early Spring,Summer,Fall,High
Parry's rush,JUPA,Juncus parryi Engelm.,Juncus parryi,parryi,Monocot,Juncaceae,Rush family,Juncales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,1.0,Moderate,None,-33,Mid Summer,Summer,Summer,Low
lesser creeping rush,JURE2,Juncus repens Michx.,Juncus repens,repens,Monocot,Juncaceae,Rush family,Juncales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,"Annual, Perennial",Graminoid,Rapid,6.8,Short,None,12,Late Spring,Summer,Fall,Low
English walnut,JURE80,Juglans regia L.,Juglans regia,regia,Dicot,Juglandaceae,Walnut family,Juglandales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Rapid,60,Moderate,None,-8,Mid Spring,Summer,Fall,High
needlepod rush,JUSC,Juncus scirpoides Lam.,Juncus scirpoides,scirpoides,Monocot,Juncaceae,Rush family,Juncales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,3.0,Long,None,-3,Late Spring,Summer,Summer,High
Rocky Mountain juniper,JUSC2,Juniperus scopulorum Sarg.,Juniperus scopulorum,scopulorum,Gymnosperm,Cupressaceae,Cypress family,Pinales,,Pinopsida,,Coniferophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Slow,50,Long,None,-38,Early Spring,Fall,Winter,High
lopsided rush,JUSE,Juncus secundus P. Beauv. ex Poir.,Juncus secundus,secundus,Monocot,Juncaceae,Rush family,Juncales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,1.5,Moderate,None,-33,Late Spring,Summer,Fall,Low
woodland rush,JUSU,Juncus subcaudatus (Engelm.) Coville & S.F. Blake,Juncus subcaudatus,subcaudatus,Monocot,Juncaceae,Rush family,Juncales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,2.2,Moderate,None,-8,Mid Summer,Summer,Fall,Medium
poverty rush,JUTE,Juncus tenuis Willd.,Juncus tenuis,tenuis,Monocot,Juncaceae,Rush family,Juncales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,1.5,Moderate,None,-38,Late Spring,Summer,Summer,Low
Torrey's rush,JUTO,Juncus torreyi Coville,Juncus torreyi,torreyi,Monocot,Juncaceae,Rush family,Juncales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,3.1,Long,None,-38,Mid Summer,Summer,Fall,Medium
three-hulled rush,JUTR4,Juncus triglumis L.,Juncus triglumis,triglumis,Monocot,Juncaceae,Rush family,Juncales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,0.8,Moderate,None,-23,Summer,Summer,Summer,Low
roundhead rush,JUVA2,Juncus validus Coville,Juncus validus,validus,Monocot,Juncaceae,Rush family,Juncales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,3.2,Long,None,-3,Mid Summer,Summer,Fall,High
eastern redcedar,JUVI,Juniperus virginiana L.,Juniperus virginiana,virginiana,Gymnosperm,Cupressaceae,Cypress family,Pinales,,Pinopsida,,Coniferophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Slow,50,Moderate,Slight,-43,Late Spring,Summer,Fall,Medium
mountain laurel,KALA,Kalmia latifolia L.,Kalmia latifolia,latifolia,Dicot,Ericaceae,Heath family,Ericales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Slow,6.0,Long,None,-23,Mid Spring,Spring,Summer,Low
alpine laurel,KAMI,Kalmia microphylla (Hook.) A. Heller,Kalmia microphylla,microphylla,Dicot,Ericaceae,Heath family,Ericales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Subshrub, Shrub",Slow,1.0,Long,None,-28,Late Spring,Summer,Summer,Low
bog laurel,KAPO,Kalmia polifolia Wangenh.,Kalmia polifolia,polifolia,Dicot,Ericaceae,Heath family,Ericales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Shrub,Slow,1.0,Long,None,-28,Late Spring,Summer,Summer,Low
prairie Junegrass,KOMA,Koeleria macrantha (Ledeb.) Schult.,Koeleria macrantha,macrantha,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Rapid,1.5,Short,None,-38,Late Spring,Summer,Summer,Low
littleleaf ratany,KRER,Krameria erecta Willd. ex Schult.,Krameria erecta,erecta,Dicot,Krameriaceae,Krameria family,Polygalales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Subshrub, Shrub",Slow,2.0,Moderate,None,-13,Early Spring,Summer,Fall,Medium
Korean clover,KUST,Kummerowia stipulacea (Maxim.) Makino,Kummerowia stipulacea,stipulacea,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Annual,Forb/herb,Rapid,1.5,,Slight,6,Late Spring,Spring,Summer,High
Japanese clover,KUST2,Kummerowia striata (Thunb.) Schindl.,Kummerowia striata,striata,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Annual,Forb/herb,Rapid,1.3,,None,8,Early Spring,Spring,Summer,High
island mallow,LAAS,Lavatera assurgentiflora Kellogg,Lavatera assurgentiflora,assurgentiflora,Dicot,Malvaceae,Mallow family,Malvales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Subshrub, Shrub",Rapid,12,Short,None,31,Indeterminate,Year Round,Year Round,High
crapemyrtle,LAIN,Lagerstroemia indica L.,Lagerstroemia indica,indica,Dicot,Lythraceae,Loosestrife family,Myrtales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Moderate,25,Moderate,None,-3,Summer,Summer,Fall,Low
beach pea,LAJA,Lathyrus japonicus Willd.,Lathyrus japonicus,japonicus,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Vine, Forb/herb",Moderate,1.5,Short,None,-33,Early Spring,Spring,Summer,Low
hyacinthbean,LAPU6,Lablab purpureus (L.) Sweet,Lablab purpureus,purpureus,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Vine, Forb/herb",Rapid,4.0,Short,Slight,31,Spring,Spring,Summer,Medium
creosote bush,LATRA,Larrea tridentata (DC.) Coville var. arenaria L.D. Benson,Larrea tridentata var. arenaria,tridentata,Dicot,Zygophyllaceae,Creosote-bush family,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Shrub,Slow,10,Long,Slight,-23,Mid Spring,Summer,Fall,Medium
tuberous sweetpea,LATU,Lathyrus tuberosus L.,Lathyrus tuberosus,tuberosus,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Vine, Forb/herb",Moderate,1.5,Moderate,Slight,-28,Mid Spring,Spring,Summer,Medium
Altai wildrye,LEAN3,Leymus angustus (Trin.) Pilg.,Leymus angustus,angustus,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Rapid,3.0,Long,None,-43,Early Spring,Spring,Summer,High
sand ryegrass,LEAR11,Leymus arenarius (L.) Hochst.,Leymus arenarius,arenarius,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Rapid,3.0,Long,None,7,Mid Spring,Spring,Summer,Low
roundhead lespedeza,LECA8,Lespedeza capitata Michx.,Lespedeza capitata,capitata,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Slow,2.6,Long,None,-28,Late Summer,Summer,Fall,Low
basin wildrye,LECI4,Leymus cinereus (Scribn. & Merr.) Á. Löve,Leymus cinereus,cinereus,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,5.0,Long,None,-43,Early Spring,Spring,Summer,Medium
giant wildrye,LECO12,Leymus condensatus (J. Presl) Á. Löve,Leymus condensatus,condensatus,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,8.5,Long,None,-38,Mid Spring,Spring,Summer,Medium
green sprangletop,LEDU,Leptochloa dubia (Kunth) Nees,Leptochloa dubia,dubia,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Rapid,3.0,Short,None,-13,Mid Spring,Spring,Summer,High
yellow wildrye,LEFL4,Leymus flavescens (Scribn. & J.G. Sm.) Pilg.,Leymus flavescens,flavescens,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,3.0,Moderate,None,-18,Late Spring,Summer,Summer,Low
hairy lespedeza,LEHI2,Lespedeza hirta (L.) Hornem.,Lespedeza hirta,hirta,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Moderate,6.0,Moderate,None,-13,Late Summer,Fall,Winter,High
American dunegrass,LEMOM2,Leymus mollis (Trin.) Pilg. ssp. mollis,Leymus mollis ssp. mollis,mollis,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Rapid,4.0,Long,None,7,Late Spring,Summer,Fall,None
mammoth wildrye,LERA5,Leymus racemosus (Lam.) Tzvelev,Leymus racemosus,racemosus,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Rapid,3.0,Moderate,None,-33,Late Spring,Summer,Summer,High
littleleaf leadtree,LERE5,Leucaena retusa Benth.,Leucaena retusa,retusa,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Rapid,25,Moderate,None,12,Early Spring,Summer,Fall,High
saline wildrye,LESA4,Leymus salinus (M.E. Jones) Á. Löve,Leymus salinus,salinus,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,2.3,Long,None,-28,Late Spring,Summer,Summer,Low
star duckweed,LETR,Lemna trisulca L.,Lemna trisulca,trisulca,Monocot,Lemnaceae,Duckweed family,Arales,Arecidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Rapid,0.3,Short,None,-38,Late Spring,Summer,Summer,None
beardless wildrye,LETR5,Leymus triticoides (Buckley) Pilg.,Leymus triticoides,triticoides,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Rapid,3.0,Long,None,-43,Late Spring,Summer,Summer,Low
valdivia duckweed,LEVA,Lemna valdiviana Phil.,Lemna valdiviana,valdiviana,Monocot,Lemnaceae,Duckweed family,Arales,Arecidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Rapid,0.1,Short,None,-33,Late Spring,Summer,Summer,None
wand lespedeza,LEVI80,Lespedeza virgata (Thunb.) DC.,Lespedeza virgata,virgata,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Slow,2.0,Moderate,None,-3,Late Summer,Fall,Winter,High
oxeye daisy,LEVU,Leucanthemum vulgare Lam.,Leucanthemum vulgare,vulgare,Dicot,Asteraceae,Aster family,Asterales,Asteridae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Moderate,1.3,Short,Slight,-28,Summer,Summer,Fall,Medium
Amur privet,LIAM,Ligustrum amurense Carrière,Ligustrum amurense,amurense,Dicot,Oleaceae,Olive family,Scrophulariales,Asteridae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Shrub,Moderate,12,Moderate,None,-38,Late Spring,Summer,Fall,Medium
northern spicebush,LIBE3,Lindera benzoin (L.) Blume,Lindera benzoin,benzoin,Dicot,Lauraceae,Laurel family,Laurales,Magnoliidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Slow,12,Long,None,-23,Mid Spring,Summer,Fall,Low
Lewis flax,LILE3,Linum lewisii Pursh,Linum lewisii,lewisii,Dicot,Linaceae,Flax family,Linales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Subshrub, Forb/herb",Moderate,2.5,Moderate,None,-36,Indeterminate,Spring,Summer,Medium
big blue lilyturf,LIMU6,Liriope muscari (Decne.) L.H. Bailey,Liriope muscari,muscari,Monocot,Liliaceae,Lily family,Liliales,Liliidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Moderate,0.5,Moderate,None,-23,Late Summer,,,
California privet,LIOV,Ligustrum ovalifolium Hassk.,Ligustrum ovalifolium,ovalifolium,Dicot,Oleaceae,Olive family,Scrophulariales,Asteridae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Rapid,16,Moderate,None,-3,Early Summer,Summer,Fall,Medium
dotted blazing star,LIPU,Liatris punctata Hook.,Liatris punctata,punctata,Dicot,Asteraceae,Aster family,Asterales,Asteridae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Slow,2.0,Moderate,None,-43,Mid Summer,Summer,Fall,Low
prairie blazing star,LIPY,Liatris pycnostachya Michx.,Liatris pycnostachya,pycnostachya,Dicot,Asteraceae,Aster family,Asterales,Asteridae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Moderate,3.5,Moderate,None,-33,Mid Summer,Summer,Fall,Low
western stoneseed,LIRU4,Lithospermum ruderale Douglas ex Lehm.,Lithospermum ruderale,ruderale,Dicot,Boraginaceae,Borage family,Lamiales,Asteridae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Moderate,1.5,Long,None,-28,Late Spring,Summer,Summer,Low
dense blazing star,LISP,Liatris spicata (L.) Willd.,Liatris spicata,spicata,Dicot,Asteraceae,Aster family,Asterales,Asteridae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Slow,4.5,Moderate,None,-18,Late Summer,Summer,Fall,Low
Appalachian blazing star,LISQ2,Liatris squarrulosa Michx.,Liatris squarrulosa,squarrulosa,Dicot,Asteraceae,Aster family,Asterales,Asteridae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Slow,2.5,Moderate,None,-3,Late Summer,Summer,Fall,Low
European privet,LIVU,Ligustrum vulgare L.,Ligustrum vulgare,vulgare,Dicot,Oleaceae,Olive family,Scrophulariales,Asteridae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Shrub,Rapid,12,Moderate,None,-38,Mid Spring,Summer,Fall,Medium
Canby's biscuitroot,LOCA4,Lomatium canbyi (J.M. Coult. & Rose) J.M. Coult. & Rose,Lomatium canbyi,canbyi,Dicot,Apiaceae,Carrot family,Apiales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Moderate,0.8,Short,None,-28,Early Spring,Spring,Spring,Medium
cous biscuitroot,LOCO4,Lomatium cous (S. Watson) J.M. Coult. & Rose,Lomatium cous,cous,Dicot,Apiaceae,Carrot family,Apiales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Rapid,0.8,Short,None,-28,Early Spring,Spring,Spring,Medium
big deervetch,LOCR,Lotus crassifolius (Benth.) Greene,Lotus crassifolius,crassifolius,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Moderate,3.5,Long,None,-3,Late Spring,Spring,Summer,Medium
Japanese honeysuckle,LOJA,Lonicera japonica Thunb.,Lonicera japonica,japonica,Dicot,Caprifoliaceae,Honeysuckle family,Dipsacales,Asteridae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Vine,Rapid,1.0,Short,None,-13,Late Spring,Spring,Summer,Low
bigseed biscuitroot,LOMA3,Lomatium macrocarpum (Nutt. ex Torr. & A. Gray) J.M. Coult. & Rose,Lomatium macrocarpum,macrocarpum,Dicot,Apiaceae,Carrot family,Apiales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Moderate,0.5,Short,None,-28,Early Spring,Spring,Spring,Medium
Amur honeysuckle,LOMA6,Lonicera maackii (Rupr.) Herder,Lonicera maackii,maackii,Dicot,Caprifoliaceae,Honeysuckle family,Dipsacales,Asteridae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Shrub,Moderate,16,Long,None,-33,Late Spring,Summer,Fall,Medium
perennial ryegrass,LOPE,Lolium perenne L.,Lolium perenne,perenne,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,"Perennial, Annual",Graminoid,Rapid,3.5,Short,None,-18,Mid Spring,Spring,Summer,High
Wimmera ryegrass,LORI,Lolium rigidum Gaudin,Lolium rigidum,rigidum,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Annual,Graminoid,Rapid,3.5,,None,12,Early Spring,Spring,Spring,High
Tatarian honeysuckle,LOTA,Lonicera tatarica L.,Lonicera tatarica,tatarica,Dicot,Caprifoliaceae,Honeysuckle family,Dipsacales,Asteridae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Shrub,Rapid,9.0,Moderate,None,-38,Mid Spring,Summer,Summer,Medium
nineleaf biscuitroot,LOTR2,Lomatium triternatum (Pursh) J.M. Coult. & Rose,Lomatium triternatum,triternatum,Dicot,Apiaceae,Carrot family,Apiales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Moderate,2.2,Moderate,None,-33,Early Spring,Spring,Spring,Medium
Utah honeysuckle,LOUT2,Lonicera utahensis S. Watson,Lonicera utahensis,utahensis,Dicot,Caprifoliaceae,Honeysuckle family,Dipsacales,Asteridae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Shrub,Rapid,5.0,Moderate,Slight,-23,Early Summer,Summer,Fall,High
Wright's deervetch,LOWR,Lotus wrightii (A. Gray) Greene,Lotus wrightii,wrightii,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Slow,1.0,Moderate,None,-3,Mid Spring,Spring,Summer,Medium
white lupine,LUAL22,Lupinus albus L.,Lupinus albus,albus,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Annual,Forb/herb,Rapid,4.0,,Moderate,-1,Late Summer,Summer,Fall,Low
sicklekeel lupine,LUAL3,Lupinus albicaulis Douglas,Lupinus albicaulis,albicaulis,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Annual,Forb/herb,Rapid,3.0,,Moderate,47,Late Summer,Summer,Fall,Low
Great Basin lupine,LUAL5,Lupinus ×alpestris A. Nelson (pro sp.),Lupinus ×alpestris,alpestris,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Slow,2.2,Long,Moderate,-38,Summer,Summer,Fall,Medium
narrowleaf lupine,LUAN4,Lupinus angustifolius L.,Lupinus angustifolius,angustifolius,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Annual,Forb/herb,Rapid,4.0,,Moderate,21,Late Summer,Summer,Fall,Low
yellow bush lupine,LUAR,Lupinus arboreus Sims,Lupinus arboreus,arboreus,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Subshrub, Shrub",Moderate,6.0,Moderate,None,22,Mid Spring,Summer,Summer,Medium
silvery lupine,LUAR3,Lupinus argenteus Pursh,Lupinus argenteus,argenteus,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Subshrub, Forb/herb",Rapid,1.5,Short,Severe,-43,Late Summer,Summer,Fall,High
tailcup lupine,LUCA,Lupinus caudatus Kellogg,Lupinus caudatus,caudatus,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Rapid,5.0,Short,Severe,-28,Summer,Spring,Fall,Medium
shaggy lupine,LUCO4,Lupinus covillei Greene,Lupinus covillei,covillei,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Rapid,10,Short,Severe,23,Late Summer,Spring,Fall,Medium
Elmer's lupine,LUEL2,Lupinus elmeri Greene,Lupinus elmeri,elmeri,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Moderate,1.5,Short,None,-33,Mid Summer,Summer,Fall,Medium
elegant lupine,LUEL4,Lupinus elegans Kunth,Lupinus elegans,elegans,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,,,Rapid,3.0,Short,Moderate,47,Late Summer,Summer,Fall,Low
Big Bend bluebonnet,LUHA,Lupinus havardii S. Watson,Lupinus havardii,havardii,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Annual,Forb/herb,Rapid,20,,None,-23,Early Spring,Spring,Fall,Medium
broadleaf lupine,LULA4,Lupinus latifolius Lindl. ex J. Agardh,Lupinus latifolius,latifolius,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Rapid,25,Short,Severe,-18,Mid Spring,Spring,Fall,Medium
Pacific lupine,LULE2,Lupinus lepidus Douglas ex Lindl.,Lupinus lepidus,lepidus,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Rapid,6.0,Short,Severe,-18,Early Summer,Spring,Fall,Medium
European yellow lupine,LULU80,Lupinus luteus L.,Lupinus luteus,luteus,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Annual,Forb/herb,Rapid,2.0,,Moderate,23,Late Summer,Summer,Fall,Low
Nevada lupine,LUNE,Lupinus nevadensis A. Heller,Lupinus nevadensis,nevadensis,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Slow,1.2,Moderate,Slight,-23,Mid Spring,Spring,Spring,Medium
silky lupine,LUSE4,Lupinus sericeus Pursh,Lupinus sericeus,sericeus,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Subshrub, Forb/herb",Rapid,6.0,Short,Severe,-28,Early Summer,Spring,Fall,Medium
